dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,contact_extension,pct_students_tested,academic_tier_rating
14K610,AUTOMOTIVE HIGH SCHOOL,94.0,367.0,376.0,350.0,x123,85.0,3.0
14K632,FRANCES PERKINS ACADEMY,12.0,382.0,372.0,368.0,x345,78.0,3.0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28.0,359.0,335.0,341.0,x345,92.0,4.0
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52.0,361.0,367.0,383.0,x234,92.0,1.0
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76.0,393.0,399.0,387.0,x234,,3.0
15K462,SECONDARY SCHOOL FOR LAW,59.0,398.0,411.0,394.0,x123,,3.0
15K463,SECONDARY SCHOOL FOR JOURNALISM,58.0,397.0,391.0,381.0,x123,,4.0
15K464,PARK SLOPE COLLEGIATE,72.0,379.0,416.0,380.0,x345,85.0,1.0
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64.0,405.0,415.0,392.0,x123,85.0,4.0
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.0,398.0,402.0,385.0,No Data,,
15K520,PACIFIC HIGH SCHOOL,9.0,352.0,341.0,300.0,x345,92.0,4.0
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28.0,368.0,365.0,368.0,x345,85.0,4.0
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8.0,430.0,416.0,425.0,x345,92.0,2.0
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20.0,355.0,355.0,358.0,x234,,4.0
16K455,BOYS AND GIRLS HIGH SCHOOL,131.0,365.0,370.0,362.0,x123,78.0,4.0
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46.0,362.0,372.0,358.0,x123,78.0,2.0
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36.0,370.0,372.0,351.0,x123,,2.0
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59.0,396.0,374.0,369.0,x234,92.0,4.0
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57.0,352.0,342.0,351.0,x234,85.0,3.0
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7.0,394.0,364.0,334.0,x123,85.0,1.0
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71.0,287.0,335.0,291.0,x234,85.0,
